"Subject"	"Stimuli"	"Trustworthy"	"Face_trust"	"RT"	"Trust"
14206	30	0.5	3.780487805	1.03738252162657	1
14206	32	-0.5	3.488636364	2.04067628608755	1
14206	59	-0.5	3.259259259	2.20191415090449	1
14206	18	0.5	3.209302326	0.897430141998484	1
14206	53	-0.5	3.15	2.15860424372295	1
14206	17	0.5	3.95505618	2.75178973672155	1
14206	14	0.5	3.321428571	2.49810399144917	1
14206	38	-0.5	3.390804598	1.18734663419673	1
14206	5	0.5	3.776595745	0.688679170325486	1
14206	43	0.5	3	3.09096139916073	0
14206	56	-0.5	3.333333333	1.89438831791267	1
14206	4	0.5	3.578313253	2.31873436546084	1
14206	48	-0.5	3.130434783	2.37800855207024	0
14206	29	-0.5	3.370786517	1.6674509593613	1
14206	20	0.5	3.80952381	1.09171655814134	1
14206	46	-0.5	3.541666667	1.96910734315315	1
14206	51	-0.5	4.214285714	4.74236630607265	1
14206	19	0.5	3.315217391	1.99342174089907	1
14206	25	-0.5	3.387096774	1.71271547357173	1
14206	11	-0.5	3.112359551	1.1770574688926	1
14206	6	0.5	3.56043956	0.969373519314104	1
14206	9	-0.5	4.010869565	0.896835218416527	1
14206	42	-0.5	3.582417582	3.8379791667503	0
14206	12	0.5	3.056818182	0.994460622481711	1
14206	7	-0.5	3.88172043	1.49979738829279	1
14206	63	0.5	3	1.12508028323282	1
14206	45	0.5	3.346153846	1.00839646740496	1
14206	57	-0.5	2.896551724	2.35367760107692	1
14206	36	-0.5	3.701149425	1.9049433283144	1
14206	8	0.5	3.430232558	0.88226571532141	1
14206	23	-0.5	3.436170213	1.38962992243978	1
14206	55	0.5	3.083333333	2.64295679338466	1
14206	21	0.5	3.731707317	1.00823954265434	1
14206	54	-0.5	3.703703704	1.40556573028516	1
14206	22	-0.5	3.313953488	3.58475161526803	1
14206	58	0.5	3.258064516	0.964031787523709	1
14206	28	0.5	3.068181818	1.40122182803316	1
14206	3	-0.5	4.054945055	2.47946040397801	1
14206	31	0.5	3.29787234	0.989833328698296	1
14206	41	-0.5	3.896551724	1.39319516009709	1
14206	39	0.5	3.75	0.883476419574436	1
14206	49	0.5	3.285714286	0.736841495407134	1
